run,k,baseline_a3_pct,horizon,oracle_a3_pct,delta_pct,oracle_eff,oracle_maxres_pct,oracle_union,oracle_swap_rate
g3_tmoe_s1_1e17,18,34.72,window-8,52.29,17.56,172.82,41.52,171.16,0.986
tmoe_minlogit_sh1_s0_1e16,6,33.22,next-token,40.91,7.69,58.45,21.57,53.9,0.999
tmoe_minlogit_sh1_s0_1e16,6,33.22,discounted-g0.5,62.78,29.57,58.53,20.3,62.88,0.995
tmoe_minlogit_sh1_s0_1e16,6,33.22,window-8,47.04,13.82,58.07,21.14,61.56,0.732
tmoe_minlogit_sh1_s2_1e17,6,38.19,next-token,44.82,6.62,57.29,64.25,54.69,0.999
tmoe_minlogit_sh1_s2_1e17,6,38.19,discounted-g0.5,66.48,28.29,60.93,20.6,62.24,0.991
tmoe_minlogit_sh1_s2_1e17,6,38.19,window-8,50.28,12.09,60.45,21.72,60.92,0.679
tmoe_minlogit_sh1_s3_1e17,6,33.51,next-token,40.68,7.17,57.51,39.23,53.51,0.999
tmoe_minlogit_sh1_s3_1e17,6,33.51,discounted-g0.5,62.84,29.33,60.45,20.37,63.05,0.994
tmoe_minlogit_sh1_s3_1e17,6,33.51,window-8,47.34,13.83,59.82,21.0,61.85,0.721
v16k_d_s0_1e16,6,19.36,next-token,29.48,10.12,52.17,37.82,49.33,0.999
v16k_d_s0_1e16,6,19.36,discounted-g0.5,48.16,28.8,61.25,22.69,63.98,0.999
v16k_d_s0_1e16,6,19.36,window-8,37.42,18.06,60.47,22.83,63.71,0.823
v16k_sweep_s2_1e17,6,21.32,next-token,31.03,9.71,48.03,75.16,48.15,0.999
v16k_sweep_s2_1e17,6,21.32,discounted-g0.5,50.42,29.11,57.64,35.41,63.7,0.999
v16k_sweep_s2_1e17,6,21.32,window-8,38.86,17.55,56.99,37.7,63.11,0.802
v16k_sweep_s3_1e17,6,20.24,next-token,30.34,10.1,47.72,78.11,48.96,0.999
v16k_sweep_s3_1e17,6,20.24,discounted-g0.5,49.54,29.29,62.3,21.2,63.94,0.999
v16k_sweep_s3_1e17,6,20.24,window-8,37.93,17.69,61.28,20.71,63.75,0.817
