# gemma MBPP dumps re-scored offline from stored raw generations (analysis/residency/mbpp_rescore.py): whole_block = the rule the recorded mbpp_gemma rows used (last fenced block executed verbatim), function_only = the model's `if __name__` self-test scaffold and trailing top-level asserts dropped before exec; stored = the recorded pass@1. 2026-09-04
record_arm,n,whole_block,stored,function_only,flipped,fail_to_pass,pass_to_fail
gemma4_ce_d7code_s2_m8192b_R16,500,0.8780,0.8780,0.8780,2,1,1
gemma4_ce_d7code_s2_m8192b_R8,500,0.8060,0.8060,0.8200,7,7,0
gemma4_ce_d7code_s2_m8192b_free,500,0.8900,0.8900,0.8880,3,1,2
gemma4_ce_digit3_m8192_R16,500,0.8700,0.8700,0.8760,5,4,1
gemma4_ce_digit3_m8192_R8,500,0.7660,0.7660,0.8000,19,18,1
gemma4_ce_digit3_m8192_free,500,0.9000,0.8960,0.9000,4,2,2
gemma4_ce_online_fullpool_full_rho0_m8192_R16,500,0.8960,0.8940,0.8920,4,1,3
gemma4_ce_online_fullpool_full_rho0_m8192_R8,500,0.8500,0.8500,0.8520,7,4,3
gemma4_ce_online_fullpool_half_rho0_m8192_R16,500,0.8760,0.8760,0.8720,4,1,3
gemma4_ce_online_fullpool_half_rho0_m8192_R8,500,0.8460,0.8440,0.8580,10,8,2
gemma4_ce_online_scratch_e16_klT2_rho0_m8192_R16,500,0.8860,0.8840,0.8800,7,2,5
gemma4_ce_online_scratch_e16_klT2_rho0_m8192_R8,500,0.8220,0.8220,0.8200,5,2,3
gemma4_ce_online_scratch_e16_klT2_rho0_m8192_free,500,0.9020,0.9000,0.8980,2,0,2
gemma4_ce_online_scratch_e16_klT2_rho0p5_m8192_R16,500,0.8800,0.8780,0.8740,3,0,3
gemma4_ce_online_scratch_e16_klT2_rho0p5_m8192_R8,500,0.7980,0.7980,0.8060,4,4,0
gemma4_ce_online_think_m8192_R16,500,0.8820,0.8820,0.8820,0,0,0
gemma4_ce_online_think_m8192_R8,500,0.8620,0.8620,0.8640,1,1,0
gemma4_ce_online_think_m8192_free,500,0.8800,0.8800,0.8800,0,0,0
gemma4_ce_onpol_scratch_full_rho0_m8192_R16,500,0.8920,0.8920,0.9000,6,5,1
gemma4_ce_onpol_scratch_full_rho0_m8192_R8,500,0.8240,0.8240,0.8300,3,3,0
gemma4_ce_realmath_R16,500,0.8600,0.8560,0.8640,2,2,0
gemma4_ce_realmath_R8,500,0.7720,0.7680,0.7920,10,10,0
gemma4_ce_realmath_free,500,0.8680,0.8640,0.8700,1,1,0
gemma4_ce_realmath_m8192_R16,500,0.8860,0.8860,0.8920,3,3,0
gemma4_ce_realmath_m8192_R8,500,0.8160,0.8160,0.8360,10,10,0
gemma4_ce_realmath_m8192_free,500,0.9040,0.9040,0.9040,2,1,1
gemma4_ce_rebuild_R16,500,0.8360,0.8320,0.8440,4,4,0
gemma4_ce_rebuild_R8,500,0.7440,0.7380,0.7640,10,10,0
gemma4_ce_rebuild_free,500,0.8740,0.8720,0.8780,2,2,0
gemma4_ce_rebuild_m8192_R16,500,0.8800,0.8760,0.8900,5,5,0
gemma4_ce_rebuild_m8192_R8,500,0.7860,0.7860,0.8040,9,9,0
gemma4_ce_rebuild_m8192_free,500,0.9000,0.9000,0.9040,2,2,0
gemma4_ce_rebuild_m8192b_R16,500,0.8780,0.8760,0.8860,6,5,1
gemma4_ce_rebuild_m8192b_R8,500,0.7880,0.7840,0.8080,10,10,0
gemma4_ce_rebuild_m8192b_free,500,0.9040,0.9040,0.9060,1,1,0
gemma4_ce_seed1_R16,500,0.8480,0.8380,0.8460,9,4,5
gemma4_ce_seed1_R8,500,0.7380,0.7320,0.7600,11,11,0
gemma4_ce_seed1_free,500,0.8820,0.8760,0.8800,1,0,1
gemma4_ce_seed2_R16,500,0.8380,0.8340,0.8480,5,5,0
gemma4_ce_seed2_R8,500,0.6920,0.6860,0.7200,16,15,1
gemma4_ce_seed2_free,500,0.8720,0.8660,0.8740,3,2,1
gemma4_ce_seed3_m8192_R16,500,0.8860,0.8860,0.8940,8,6,2
gemma4_ce_seed3_m8192_R8,500,0.7660,0.7660,0.7900,12,12,0
gemma4_ce_seed3_m8192_free,500,0.8940,0.8900,0.8940,2,1,1
gemma4_instruct_R16,500,0.8460,0.8380,0.8460,4,2,2
gemma4_instruct_R8,500,0.7340,0.7220,0.7900,30,29,1
gemma4_instruct_free,500,0.8760,0.8680,0.8760,0,0,0
gemma4_instruct_m8192_R16,500,0.8920,0.8900,0.8920,4,2,2
gemma4_instruct_m8192_R8,500,0.7700,0.7700,0.8280,29,29,0
gemma4_instruct_m8192_free,500,0.9100,0.9100,0.9100,0,0,0
gemma4_instruct_m8192b_R16,500,0.8960,0.8960,0.9000,4,3,1
gemma4_instruct_m8192b_R8,500,0.7840,0.7800,0.8360,28,27,1
gemma4_instruct_m8192b_free,500,0.9120,0.9120,0.9120,0,0,0
gemma4_mbpp_smoke2_R16,25,0.9200,0.9200,0.9200,0,0,0
gemma4_mbpp_smoke2_R8,25,0.7600,0.7600,0.8000,1,1,0
gemma4_mbpp_smoke2_free,25,0.8800,0.8400,0.8800,0,0,0
gemma4_remoe_lr3e-4_rho0_m8192_free,500,0.8980,0.8980,0.8980,2,1,1
gemma4_skliar_C64_lam0_m8192_R8,500,0.9160,0.9120,0.9140,1,0,1
gemma4_skliar_C64_lam0p4_m8192_R8,500,0.9060,0.9040,0.9100,4,3,1
gemma4_skliar_C8_lam0p5_m8192_R8,500,0.8500,0.8480,0.8740,12,12,0
gemma4_skliar_rho1p0_R8,500,0.7500,0.7220,0.7920,21,21,0
gemma4_think_on_fulln_m8192_R16,500,0.8720,0.8720,0.8820,5,5,0
gemma4_think_on_fulln_m8192_R8,500,0.7780,0.7780,0.8200,21,21,0
gemma4_think_on_fulln_m8192_free,500,0.8740,0.8740,0.8740,0,0,0
